neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
Alexanderplatz,Entire rental unit,Entire home/apt,1.173665229859642,-0.33430847470792335,0.73012556504314,1.1478177060711439,605.0
Alexanderplatz,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,1423.04
Schillerpromenade,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,300.0
Brunnenstr. Süd,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,215.0
Brunnenstr. Süd,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,330.0
Moabit West,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-1.1894982372971914,1005.82
Brunnenstr. Süd,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,430.0
Kurfürstendamm,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,0.73012556504314,-0.020840265613023688,360.0
südliche Luisenstadt,Entire rental unit,Entire home/apt,1.173665229859642,-0.33430847470792335,0.73012556504314,0.5634887202290602,3229.66
Düsseldorfer Straße,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,-0.020840265613023688,195.0
Alexanderplatz,Entire rental unit,Entire home/apt,1.6188275360863218,-0.33430847470792335,1.874774031530127,1.1478177060711439,695.0
Frankfurter Allee Süd FK,Entire condo,Entire home/apt,-0.1618216888203981,-0.33430847470792335,0.73012556504314,-0.020840265613023688,210.0
Helmholtzplatz,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,155.0
Südliche Friedrichstadt,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,205.0
